match_id,season_id,date_match,home_team_id,away_team_id,points_home,points_away,goal_diff_home,goal_diff_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,possession_home,possession_away,shots_on_target_home,shots_on_target_away,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_avg_goal_diff_home,h2h_avg_goals_home_scored,h2h_avg_goals_away_scored,result
4356,6,2023-11-05,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.5,1.0,draw
4359,6,2023-11-05,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.2,2.0,0.8,home_win
4361,6,2023-11-06,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.2,1.4,1.6,away_win
4363,6,2023-11-11,27,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.8,0.6,1.4,home_win
4367,6,2023-11-11,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.2,1.2,1.4,away_win
4371,6,2023-11-11,26,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.4,1.8,1.4,home_win
4369,6,2023-11-11,16,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,home_win
4362,6,2023-11-11,2,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-0.2,1.2,1.4,home_win
4365,6,2023-11-12,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.8,0.8,1.6,draw
4364,6,2023-11-12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,1.2,1.2,home_win
4366,6,2023-11-12,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,1.6,1.6,draw
4368,6,2023-11-12,13,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,1.2,1.2,home_win
4370,6,2023-11-12,25,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.8,0.8,home_win
4372,6,2023-11-25,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.4,0.8,1.2,away_win
4373,6,2023-11-25,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-0.2,0.8,1.0,away_win
4378,6,2023-11-25,17,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.4,2.2,0.8,home_win
4379,6,2023-11-25,19,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.4,2.4,1.0,away_win
4380,6,2023-11-25,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.25,1.5,1.75,away_win
4376,6,2023-11-25,14,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,1.5,1.0,home_win
4377,6,2023-11-25,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.8,0.8,draw
4374,6,2023-11-26,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.6,1.6,1.0,away_win
4381,6,2023-11-26,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,1.4,1.4,away_win
4375,6,2023-11-27,9,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.4,1.4,1.8,home_win
4383,6,2023-12-02,27,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,0.8,0.8,home_win
4384,6,2023-12-02,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,2.0,3.0,home_win
4385,6,2023-12-02,5,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.8,1.8,1.0,home_win
4389,6,2023-12-02,17,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.6,1.6,1.0,home_win
4390,6,2023-12-02,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.4,0.4,0.8,away_win
4382,6,2023-12-03,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.2,1.2,1.0,draw
4388,6,2023-12-03,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1.8,0.6,2.4,draw
4391,6,2023-12-03,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.2,1.2,1.4,draw
4386,6,2023-12-03,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.0,2.2,1.2,home_win
4387,6,2023-12-03,13,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,2.0,2.0,home_win
4399,6,2023-12-05,26,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.4,0.6,0.2,home_win
4396,6,2023-12-05,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,2.5,2.0,away_win
4393,6,2023-12-06,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.6,1.2,0.6,home_win
4392,6,2023-12-06,1,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.2,1.8,0.6,home_win
4395,6,2023-12-06,9,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.4,2.0,0.6,home_win
4397,6,2023-12-06,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,1.4,1.2,away_win
4400,6,2023-12-06,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.2,0.2,0.4,away_win
4401,6,2023-12-06,16,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.6,1.6,1.0,home_win
4394,6,2023-12-07,8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.4,0.8,0.4,home_win
4398,6,2023-12-07,22,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0.4,1.4,1.0,away_win
4403,6,2023-12-09,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.8,0.6,1.4,draw
4404,6,2023-12-09,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.6,0.4,1.0,away_win
4411,6,2023-12-09,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-0.6,0.8,1.4,draw
4402,6,2023-12-09,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.6,0.6,1.2,home_win
4408,6,2023-12-09,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.2,0.6,1.8,away_win
4409,6,2023-12-09,20,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,1.5,0.0,home_win
4410,6,2023-12-10,22,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.4,2.2,0.8,home_win
4405,6,2023-12-10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.8,1.8,0.0,home_win
4406,6,2023-12-10,9,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.8,1.8,1.0,home_win
4407,6,2023-12-10,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,3.0,1.5,away_win
4420,6,2023-12-15,19,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,1.0,1.0,away_win
4415,6,2023-12-16,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.4,1.4,1.0,away_win
4418,6,2023-12-16,15,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.2,2.2,2.0,draw
4419,6,2023-12-16,17,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6,1.4,0.8,home_win
4416,6,2023-12-16,6,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.4,2.4,1.0,home_win
4413,6,2023-12-17,27,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-0.2,0.8,1.0,home_win
4414,6,2023-12-17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.2,1.6,1.4,away_win
4417,6,2023-12-17,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.6,0.8,1.4,draw
4421,6,2023-12-17,25,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.8,1.4,0.6,home_win
4423,6,2023-12-21,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.4,1.6,1.2,draw
4422,6,2023-12-22,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.6,0.6,1.2,draw
4426,6,2023-12-23,14,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,2.5,2.0,home_win
4424,6,2023-12-23,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-0.8,0.6,1.4,away_win
4425,6,2023-12-23,13,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.6,1.8,1.2,draw
4428,6,2023-12-23,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.8,1.8,1.0,away_win
4429,6,2023-12-23,22,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.2,2.2,1.0,home_win
4430,6,2023-12-23,25,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.8,1.4,0.6,home_win
4431,6,2023-12-24,26,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.6,1.8,2.4,home_win
4441,6,2023-12-26,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.5,1.5,3.0,away_win
4436,6,2023-12-26,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.2,1.0,0.8,away_win
4432,6,2023-12-26,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.2,1.8,0.6,home_win
4439,6,2023-12-26,16,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.4,1.2,0.8,home_win
4440,6,2023-12-26,17,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.8,1.6,2.4,away_win
4437,6,2023-12-27,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-0.2,1.0,1.2,home_win
4434,6,2023-12-27,3,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.6,1.4,2.0,away_win
4438,6,2023-12-27,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.4,0.8,1.2,away_win
4435,6,2023-12-28,4,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.2,2.0,1.8,home_win
